"transaction_id","customer_id","category","item","price_per_unit","quantity","total_spent","payment_method","location","transaction_date","discount_applied","recover_total_spent","recover_quantity","recover_price_per_unit"
"TXN_5431616","CUST_17","Furniture",NA,NA,1,15.5,"Cash","In-store",2024-11-26,FALSE,FALSE,FALSE,TRUE
"TXN_6471352","CUST_17","Beverages",NA,NA,4,80,"Cash","Online",2025-01-05,FALSE,FALSE,FALSE,TRUE
"TXN_6308565","CUST_19","Computers and electric accessories",NA,NA,4,44,"Credit Card","Online",2024-02-10,FALSE,FALSE,FALSE,TRUE
"TXN_8954821","CUST_14","Milk Products",NA,NA,9,45,"Digital Wallet","In-store",2024-06-12,NA,FALSE,FALSE,TRUE
"TXN_2897310","CUST_19","Butchers",NA,NA,9,261,"Digital Wallet","In-store",2023-06-25,FALSE,FALSE,FALSE,TRUE
"TXN_2949356","CUST_17","Beverages",NA,NA,8,316,"Digital Wallet","Online",2022-08-01,FALSE,FALSE,FALSE,TRUE
"TXN_1871707","CUST_10","Electric household essentials",NA,NA,1,33.5,"Digital Wallet","In-store",2022-04-01,FALSE,FALSE,FALSE,TRUE
"TXN_8221101","CUST_18","Patisserie",NA,NA,6,228,"Digital Wallet","In-store",2022-02-09,TRUE,FALSE,FALSE,TRUE
"TXN_8508332","CUST_13","Milk Products",NA,NA,10,80,"Digital Wallet","In-store",2022-06-23,NA,FALSE,FALSE,TRUE
"TXN_3784837","CUST_16","Butchers",NA,NA,1,38,"Credit Card","Online",2024-06-06,FALSE,FALSE,FALSE,TRUE
"TXN_1792761","CUST_11","Food",NA,NA,7,77,"Digital Wallet","Online",2022-01-26,NA,FALSE,FALSE,TRUE
"TXN_6103372","CUST_23","Food",NA,NA,3,69,"Credit Card","Online",2024-10-08,TRUE,FALSE,FALSE,TRUE
"TXN_4417302","CUST_11","Butchers",NA,NA,9,234,"Credit Card","Online",2024-09-05,FALSE,FALSE,FALSE,TRUE
"TXN_3394201","CUST_17","Computers and electric accessories",NA,NA,8,256,"Cash","Online",2024-11-04,NA,FALSE,FALSE,TRUE
"TXN_2227872","CUST_03","Furniture",NA,NA,7,276.5,"Digital Wallet","In-store",2024-05-27,TRUE,FALSE,FALSE,TRUE
"TXN_9285106","CUST_23","Computers and electric accessories",NA,NA,10,335,"Credit Card","In-store",2024-06-18,TRUE,FALSE,FALSE,TRUE
"TXN_3019913","CUST_18","Milk Products",NA,NA,10,125,"Cash","Online",2024-02-16,TRUE,FALSE,FALSE,TRUE
"TXN_5136594","CUST_14","Patisserie",NA,NA,7,213.5,"Credit Card","In-store",2022-03-23,FALSE,FALSE,FALSE,TRUE
"TXN_8831517","CUST_08","Computers and electric accessories",NA,NA,1,33.5,"Cash","In-store",2022-04-21,TRUE,FALSE,FALSE,TRUE
"TXN_5315119","CUST_10","Patisserie",NA,NA,3,28.5,"Digital Wallet","Online",2024-09-01,NA,FALSE,FALSE,TRUE
"TXN_7470621","CUST_02","Electric household essentials",NA,NA,3,100.5,"Cash","Online",2024-04-20,TRUE,FALSE,FALSE,TRUE
"TXN_4036118","CUST_06","Furniture",NA,NA,6,228,"Cash","In-store",2023-01-28,NA,FALSE,FALSE,TRUE
"TXN_3133019","CUST_21","Furniture",NA,NA,9,139.5,"Digital Wallet","Online",2024-01-01,TRUE,FALSE,FALSE,TRUE
"TXN_7349203","CUST_13","Butchers",NA,NA,9,112.5,"Cash","In-store",2024-03-08,TRUE,FALSE,FALSE,TRUE
"TXN_2911719","CUST_02","Computers and electric accessories",NA,NA,4,56,"Cash","Online",2024-06-06,TRUE,FALSE,FALSE,TRUE
"TXN_7920383","CUST_15","Computers and electric accessories",NA,NA,4,110,"Cash","In-store",2023-12-24,TRUE,FALSE,FALSE,TRUE
"TXN_1396754","CUST_18","Milk Products",NA,NA,4,62,"Digital Wallet","In-store",2022-05-07,TRUE,FALSE,FALSE,TRUE
"TXN_2049510","CUST_20","Beverages",NA,NA,1,20,"Digital Wallet","In-store",2024-09-04,FALSE,FALSE,FALSE,TRUE
"TXN_4850024","CUST_01","Milk Products",NA,NA,1,15.5,"Cash","Online",2022-09-30,TRUE,FALSE,FALSE,TRUE
"TXN_7978551","CUST_20","Beverages",NA,NA,9,315,"Digital Wallet","Online",2023-02-12,TRUE,FALSE,FALSE,TRUE
"TXN_5386745","CUST_01","Patisserie",NA,NA,8,124,"Credit Card","In-store",2024-01-21,TRUE,FALSE,FALSE,TRUE
"TXN_3745950","CUST_11","Butchers",NA,NA,7,98,"Digital Wallet","In-store",2022-08-08,TRUE,FALSE,FALSE,TRUE
"TXN_4046056","CUST_09","Electric household essentials",NA,NA,5,182.5,"Credit Card","In-store",2024-02-04,NA,FALSE,FALSE,TRUE
"TXN_9315594","CUST_25","Butchers",NA,NA,2,46,"Credit Card","In-store",2024-07-22,FALSE,FALSE,FALSE,TRUE
"TXN_9569469","CUST_08","Beverages",NA,NA,8,328,"Digital Wallet","Online",2024-02-12,NA,FALSE,FALSE,TRUE
"TXN_8023340","CUST_14","Butchers",NA,NA,8,292,"Cash","Online",2023-10-04,TRUE,FALSE,FALSE,TRUE
"TXN_5690221","CUST_06","Food",NA,NA,1,36.5,"Digital Wallet","In-store",2022-10-06,TRUE,FALSE,FALSE,TRUE
"TXN_8624218","CUST_16","Beverages",NA,NA,8,160,"Cash","Online",2022-08-03,FALSE,FALSE,FALSE,TRUE
"TXN_7869463","CUST_14","Computers and electric accessories",NA,NA,8,232,"Credit Card","Online",2023-03-11,FALSE,FALSE,FALSE,TRUE
"TXN_1007496","CUST_01","Butchers",NA,NA,10,155,"Credit Card","Online",2024-02-05,TRUE,FALSE,FALSE,TRUE
"TXN_2092827","CUST_25","Milk Products",NA,NA,1,30.5,"Digital Wallet","Online",2023-10-01,FALSE,FALSE,FALSE,TRUE
"TXN_1818683","CUST_10","Milk Products",NA,NA,5,25,"Credit Card","In-store",2022-07-12,NA,FALSE,FALSE,TRUE
"TXN_4887526","CUST_01","Patisserie",NA,NA,3,19.5,"Cash","In-store",2023-03-03,FALSE,FALSE,FALSE,TRUE
"TXN_2292675","CUST_22","Furniture",NA,NA,1,6.5,"Digital Wallet","Online",2024-06-23,NA,FALSE,FALSE,TRUE
"TXN_2511487","CUST_24","Computers and electric accessories",NA,NA,10,320,"Credit Card","Online",2024-01-05,TRUE,FALSE,FALSE,TRUE
"TXN_2232017","CUST_11","Food",NA,NA,8,184,"Cash","In-store",2023-04-18,TRUE,FALSE,FALSE,TRUE
"TXN_5513567","CUST_06","Computers and electric accessories",NA,NA,10,185,"Digital Wallet","Online",2022-10-13,NA,FALSE,FALSE,TRUE
"TXN_5664358","CUST_07","Computers and electric accessories",NA,NA,1,35,"Credit Card","Online",2022-01-04,FALSE,FALSE,FALSE,TRUE
"TXN_1505937","CUST_06","Electric household essentials",NA,NA,1,29,"Digital Wallet","Online",2023-06-04,FALSE,FALSE,FALSE,TRUE
"TXN_4114556","CUST_21","Patisserie",NA,NA,3,46.5,"Cash","Online",2023-02-26,FALSE,FALSE,FALSE,TRUE
"TXN_8233871","CUST_04","Furniture",NA,NA,9,315,"Digital Wallet","In-store",2023-07-19,TRUE,FALSE,FALSE,TRUE
"TXN_5338814","CUST_06","Milk Products",NA,NA,10,410,"Digital Wallet","Online",2023-03-13,FALSE,FALSE,FALSE,TRUE
"TXN_1892483","CUST_22","Milk Products",NA,NA,9,234,"Cash","Online",2023-08-31,TRUE,FALSE,FALSE,TRUE
"TXN_1943695","CUST_09","Milk Products",NA,NA,8,256,"Credit Card","In-store",2023-04-04,FALSE,FALSE,FALSE,TRUE
"TXN_6609828","CUST_07","Food",NA,NA,5,40,"Credit Card","Online",2022-04-06,NA,FALSE,FALSE,TRUE
"TXN_9099328","CUST_12","Electric household essentials",NA,NA,10,380,"Digital Wallet","In-store",2023-02-28,NA,FALSE,FALSE,TRUE
"TXN_8006993","CUST_05","Butchers",NA,NA,6,156,"Digital Wallet","In-store",2024-09-13,TRUE,FALSE,FALSE,TRUE
"TXN_3203228","CUST_09","Milk Products",NA,NA,1,39.5,"Digital Wallet","In-store",2023-01-23,TRUE,FALSE,FALSE,TRUE
"TXN_3661483","CUST_02","Butchers",NA,NA,4,110,"Cash","In-store",2022-01-20,NA,FALSE,FALSE,TRUE
"TXN_9551621","CUST_16","Electric household essentials",NA,NA,4,146,"Credit Card","In-store",2023-03-21,TRUE,FALSE,FALSE,TRUE
"TXN_1137542","CUST_21","Electric household essentials",NA,NA,1,11,"Credit Card","In-store",2023-06-29,NA,FALSE,FALSE,TRUE
"TXN_4205609","CUST_16","Electric household essentials",NA,NA,8,280,"Digital Wallet","In-store",2022-01-28,NA,FALSE,FALSE,TRUE
"TXN_4123109","CUST_24","Beverages",NA,NA,2,19,"Digital Wallet","In-store",2025-01-12,TRUE,FALSE,FALSE,TRUE
"TXN_2245624","CUST_12","Computers and electric accessories",NA,NA,4,62,"Cash","Online",2022-07-10,FALSE,FALSE,FALSE,TRUE
"TXN_4028997","CUST_03","Patisserie",NA,NA,5,122.5,"Cash","In-store",2022-04-24,FALSE,FALSE,FALSE,TRUE
"TXN_3130278","CUST_01","Computers and electric accessories",NA,NA,8,304,"Credit Card","Online",2022-12-23,NA,FALSE,FALSE,TRUE
"TXN_4640422","CUST_05","Milk Products",NA,NA,3,60,"Credit Card","In-store",2023-03-22,TRUE,FALSE,FALSE,TRUE
"TXN_2442204","CUST_13","Milk Products",NA,NA,9,45,"Credit Card","Online",2024-07-06,FALSE,FALSE,FALSE,TRUE
"TXN_4383900","CUST_23","Food",NA,NA,1,41,"Cash","Online",2024-07-23,TRUE,FALSE,FALSE,TRUE
"TXN_2589028","CUST_16","Computers and electric accessories",NA,NA,2,76,"Digital Wallet","Online",2022-06-05,TRUE,FALSE,FALSE,TRUE
"TXN_3347015","CUST_24","Furniture",NA,NA,7,266,"Credit Card","Online",2024-08-25,FALSE,FALSE,FALSE,TRUE
"TXN_6590458","CUST_21","Beverages",NA,NA,2,16,"Cash","In-store",2024-01-29,TRUE,FALSE,FALSE,TRUE
"TXN_2434339","CUST_01","Beverages",NA,NA,9,180,"Credit Card","Online",2022-05-19,NA,FALSE,FALSE,TRUE
"TXN_5518537","CUST_19","Food",NA,NA,1,11,"Cash","In-store",2023-02-08,NA,FALSE,FALSE,TRUE
"TXN_3729060","CUST_07","Patisserie",NA,NA,6,228,"Digital Wallet","Online",2022-07-20,NA,FALSE,FALSE,TRUE
"TXN_3122781","CUST_09","Butchers",NA,NA,7,108.5,"Digital Wallet","In-store",2023-07-21,NA,FALSE,FALSE,TRUE
"TXN_2810459","CUST_09","Computers and electric accessories",NA,NA,1,24.5,"Cash","In-store",2022-04-19,NA,FALSE,FALSE,TRUE
"TXN_1432445","CUST_01","Food",NA,NA,9,180,"Cash","In-store",2023-08-01,NA,FALSE,FALSE,TRUE
"TXN_3813656","CUST_02","Beverages",NA,NA,1,27.5,"Credit Card","In-store",2022-09-01,FALSE,FALSE,FALSE,TRUE
"TXN_9291336","CUST_19","Electric household essentials",NA,NA,10,380,"Digital Wallet","In-store",2022-12-10,TRUE,FALSE,FALSE,TRUE
"TXN_3247249","CUST_10","Milk Products",NA,NA,7,276.5,"Digital Wallet","Online",2023-01-13,NA,FALSE,FALSE,TRUE
"TXN_3419658","CUST_02","Patisserie",NA,NA,9,220.5,"Digital Wallet","In-store",2023-07-06,NA,FALSE,FALSE,TRUE
"TXN_9957512","CUST_21","Milk Products",NA,NA,5,160,"Digital Wallet","Online",2025-01-14,NA,FALSE,FALSE,TRUE
"TXN_9082199","CUST_09","Beverages",NA,NA,9,220.5,"Digital Wallet","In-store",2024-09-02,FALSE,FALSE,FALSE,TRUE
"TXN_8947708","CUST_04","Butchers",NA,NA,2,22,"Cash","In-store",2023-03-20,NA,FALSE,FALSE,TRUE
"TXN_4554250","CUST_23","Furniture",NA,NA,6,246,"Credit Card","In-store",2022-10-19,FALSE,FALSE,FALSE,TRUE
"TXN_1236974","CUST_01","Beverages",NA,NA,8,76,"Cash","Online",2023-04-21,FALSE,FALSE,FALSE,TRUE
"TXN_6048384","CUST_07","Butchers",NA,NA,4,164,"Cash","Online",2022-05-19,NA,FALSE,FALSE,TRUE
"TXN_9080551","CUST_21","Beverages",NA,NA,2,28,"Digital Wallet","Online",2022-07-21,FALSE,FALSE,FALSE,TRUE
"TXN_8373559","CUST_23","Computers and electric accessories",NA,NA,3,51,"Digital Wallet","Online",2022-11-19,FALSE,FALSE,FALSE,TRUE
"TXN_6688533","CUST_16","Computers and electric accessories",NA,NA,1,35,"Digital Wallet","Online",2023-11-09,NA,FALSE,FALSE,TRUE
"TXN_5601162","CUST_22","Computers and electric accessories",NA,NA,1,26,"Cash","In-store",2022-01-26,TRUE,FALSE,FALSE,TRUE
"TXN_5807928","CUST_08","Butchers",NA,NA,9,180,"Cash","Online",2024-11-08,TRUE,FALSE,FALSE,TRUE
"TXN_3748574","CUST_17","Milk Products",NA,NA,5,152.5,"Credit Card","Online",2022-03-30,FALSE,FALSE,FALSE,TRUE
"TXN_4602911","CUST_13","Milk Products",NA,NA,7,56,"Credit Card","In-store",2023-07-17,FALSE,FALSE,FALSE,TRUE
"TXN_2848709","CUST_23","Beverages",NA,NA,10,350,"Credit Card","Online",2022-07-31,NA,FALSE,FALSE,TRUE
"TXN_2850753","CUST_16","Patisserie",NA,NA,4,128,"Cash","In-store",2024-01-10,NA,FALSE,FALSE,TRUE
"TXN_3489467","CUST_23","Computers and electric accessories",NA,NA,7,150.5,"Credit Card","In-store",2023-10-15,TRUE,FALSE,FALSE,TRUE
"TXN_2756540","CUST_21","Milk Products",NA,NA,1,27.5,"Credit Card","Online",2023-05-09,TRUE,FALSE,FALSE,TRUE
"TXN_9102221","CUST_13","Furniture",NA,NA,2,76,"Digital Wallet","In-store",2023-02-13,NA,FALSE,FALSE,TRUE
"TXN_5895413","CUST_21","Patisserie",NA,NA,2,67,"Digital Wallet","In-store",2024-04-29,NA,FALSE,FALSE,TRUE
"TXN_7982451","CUST_22","Food",NA,NA,8,172,"Digital Wallet","Online",2023-10-18,TRUE,FALSE,FALSE,TRUE
"TXN_2904039","CUST_22","Butchers",NA,NA,4,152,"Credit Card","Online",2023-08-11,NA,FALSE,FALSE,TRUE
"TXN_2522970","CUST_18","Electric household essentials",NA,NA,6,192,"Digital Wallet","In-store",2024-04-25,FALSE,FALSE,FALSE,TRUE
"TXN_8717697","CUST_20","Furniture",NA,NA,6,120,"Cash","In-store",2024-05-21,FALSE,FALSE,FALSE,TRUE
"TXN_5650070","CUST_21","Beverages",NA,NA,6,165,"Cash","In-store",2022-07-11,TRUE,FALSE,FALSE,TRUE
"TXN_8087160","CUST_08","Butchers",NA,NA,5,152.5,"Cash","Online",2024-01-26,NA,FALSE,FALSE,TRUE
"TXN_5773308","CUST_07","Furniture",NA,NA,5,85,"Credit Card","Online",2024-01-01,TRUE,FALSE,FALSE,TRUE
"TXN_5802934","CUST_23","Milk Products",NA,NA,9,288,"Cash","Online",2022-01-25,TRUE,FALSE,FALSE,TRUE
"TXN_3214105","CUST_23","Furniture",NA,NA,9,112.5,"Digital Wallet","Online",2024-07-05,TRUE,FALSE,FALSE,TRUE
"TXN_6702252","CUST_23","Food",NA,NA,4,122,"Digital Wallet","Online",2024-09-11,FALSE,FALSE,FALSE,TRUE
"TXN_6600756","CUST_18","Food",NA,NA,7,171.5,"Cash","In-store",2023-05-19,NA,FALSE,FALSE,TRUE
"TXN_3216751","CUST_17","Patisserie",NA,NA,10,290,"Cash","In-store",2024-03-10,FALSE,FALSE,FALSE,TRUE
"TXN_5965620","CUST_23","Furniture",NA,NA,4,44,"Credit Card","In-store",2022-06-13,FALSE,FALSE,FALSE,TRUE
"TXN_1482356","CUST_01","Patisserie",NA,NA,7,119,"Digital Wallet","In-store",2022-10-24,NA,FALSE,FALSE,TRUE
"TXN_5730630","CUST_25","Milk Products",NA,NA,5,32.5,"Digital Wallet","In-store",2023-12-04,TRUE,FALSE,FALSE,TRUE
"TXN_9438432","CUST_04","Electric household essentials",NA,NA,2,34,"Digital Wallet","Online",2024-06-26,FALSE,FALSE,FALSE,TRUE
"TXN_1972506","CUST_09","Computers and electric accessories",NA,NA,8,100,"Cash","Online",2024-12-14,NA,FALSE,FALSE,TRUE
"TXN_5789870","CUST_23","Butchers",NA,NA,6,156,"Credit Card","In-store",2023-11-23,FALSE,FALSE,FALSE,TRUE
"TXN_8171410","CUST_18","Electric household essentials",NA,NA,8,148,"Digital Wallet","In-store",2023-12-21,FALSE,FALSE,FALSE,TRUE
"TXN_7984930","CUST_23","Food",NA,NA,9,112.5,"Cash","In-store",2022-09-01,TRUE,FALSE,FALSE,TRUE
"TXN_9648976","CUST_09","Food",NA,NA,9,301.5,"Cash","In-store",2024-09-26,FALSE,FALSE,FALSE,TRUE
"TXN_1208768","CUST_24","Beverages",NA,NA,2,28,"Cash","Online",2023-02-28,NA,FALSE,FALSE,TRUE
"TXN_9835299","CUST_04","Electric household essentials",NA,NA,2,46,"Digital Wallet","In-store",2022-11-12,NA,FALSE,FALSE,TRUE
"TXN_3435432","CUST_14","Electric household essentials",NA,NA,7,150.5,"Digital Wallet","Online",2022-07-14,NA,FALSE,FALSE,TRUE
"TXN_2090388","CUST_10","Patisserie",NA,NA,7,255.5,"Digital Wallet","In-store",2023-11-26,TRUE,FALSE,FALSE,TRUE
"TXN_6842216","CUST_10","Butchers",NA,NA,6,219,"Cash","Online",2022-01-25,FALSE,FALSE,FALSE,TRUE
"TXN_9896915","CUST_22","Beverages",NA,NA,7,45.5,"Digital Wallet","In-store",2024-04-29,FALSE,FALSE,FALSE,TRUE
"TXN_6106136","CUST_07","Furniture",NA,NA,9,58.5,"Credit Card","In-store",2024-02-03,FALSE,FALSE,FALSE,TRUE
"TXN_4246606","CUST_02","Food",NA,NA,7,203,"Credit Card","Online",2023-10-24,FALSE,FALSE,FALSE,TRUE
"TXN_9345275","CUST_09","Patisserie",NA,NA,5,190,"Cash","Online",2024-10-20,FALSE,FALSE,FALSE,TRUE
"TXN_2306040","CUST_08","Electric household essentials",NA,NA,8,88,"Cash","Online",2023-11-27,TRUE,FALSE,FALSE,TRUE
"TXN_7924859","CUST_12","Electric household essentials",NA,NA,3,109.5,"Digital Wallet","In-store",2023-08-18,NA,FALSE,FALSE,TRUE
"TXN_7433742","CUST_12","Electric household essentials",NA,NA,5,77.5,"Digital Wallet","Online",2023-09-09,TRUE,FALSE,FALSE,TRUE
"TXN_7513847","CUST_07","Computers and electric accessories",NA,NA,2,31,"Digital Wallet","Online",2023-03-06,TRUE,FALSE,FALSE,TRUE
"TXN_8699307","CUST_09","Food",NA,NA,10,245,"Credit Card","In-store",2022-06-11,TRUE,FALSE,FALSE,TRUE
"TXN_1212399","CUST_05","Beverages",NA,NA,8,112,"Digital Wallet","Online",2024-01-17,TRUE,FALSE,FALSE,TRUE
"TXN_4517752","CUST_05","Beverages",NA,NA,6,246,"Digital Wallet","In-store",2022-07-21,NA,FALSE,FALSE,TRUE
"TXN_5141030","CUST_11","Computers and electric accessories",NA,NA,9,126,"Cash","In-store",2023-11-20,TRUE,FALSE,FALSE,TRUE
"TXN_9434303","CUST_15","Food",NA,NA,6,57,"Digital Wallet","In-store",2023-09-30,TRUE,FALSE,FALSE,TRUE
"TXN_3434264","CUST_07","Butchers",NA,NA,5,167.5,"Digital Wallet","Online",2023-07-11,NA,FALSE,FALSE,TRUE
"TXN_5458562","CUST_21","Computers and electric accessories",NA,NA,6,129,"Digital Wallet","In-store",2024-05-23,NA,FALSE,FALSE,TRUE
"TXN_5984083","CUST_20","Computers and electric accessories",NA,NA,6,84,"Credit Card","In-store",2023-03-07,TRUE,FALSE,FALSE,TRUE
"TXN_5944536","CUST_02","Beverages",NA,NA,9,193.5,"Credit Card","In-store",2024-04-02,FALSE,FALSE,FALSE,TRUE
"TXN_5017130","CUST_08","Food",NA,NA,5,107.5,"Credit Card","In-store",2024-04-01,FALSE,FALSE,FALSE,TRUE
"TXN_3882852","CUST_07","Milk Products",NA,NA,2,28,"Digital Wallet","In-store",2023-02-24,TRUE,FALSE,FALSE,TRUE
"TXN_6834397","CUST_09","Butchers",NA,NA,9,301.5,"Cash","Online",2022-09-29,NA,FALSE,FALSE,TRUE
"TXN_8890563","CUST_03","Food",NA,NA,10,80,"Credit Card","Online",2022-05-26,FALSE,FALSE,FALSE,TRUE
"TXN_7346385","CUST_10","Patisserie",NA,NA,4,62,"Digital Wallet","Online",2024-11-30,FALSE,FALSE,FALSE,TRUE
"TXN_6034757","CUST_07","Food",NA,NA,7,234.5,"Cash","In-store",2023-09-27,FALSE,FALSE,FALSE,TRUE
